league_name,level_category_points,league_points_f13
lhjalsl,70.04545455,1400.0
lhjam,70.04545455,1400.0
lhjama,70.04545455,1400.0
lhjao,70.04545455,1400.0
lhjaosf,70.04545455,1400.0
lhjarn,70.04545455,1400.0
lhjarv,70.04545455,1400.0
lhjaslsj,70.04545455,1400.0
lhjbb,70.04545455,1400.0
lhjbsl,70.04545455,1400.0
lhjslsj,70.04545455,1400.0
lhmjaa,70.04545455,1400.0
lhsaaall,70.04545455,1400.0
lhsaaaq,70.04545455,1400.0
lhsao,70.04545455,1400.0
lhsb,70.04545455,1400.0
lhsbeq,70.04545455,1400.0
lhsce,70.04545455,1400.0
lhse,70.04545455,1400.0
lhsg,70.04545455,1400.0
lhslf,70.04545455,1400.0
lhsmm,70.04545455,1400.0
lhva,70.04545455,1400.0
lihlllbaa,61.77272727,1000.0
lihlllmaa,70.04545455,1400.0
ljhl,70.04545455,1400.0
llfhl-w,70.04545455,1400.0
llhl,70.04545455,1400.0
lnah,70.04545455,1400.0
lrh,70.04545455,1400.0
mfhl-u15-w,65.90909091,1200.0
mfhl-u18-w,70.04545455,1400.0
mfpl-w,74.18181818,1700.0
mhlsk-u15,57.63636364,800.0
mhlsk-u18,70.04545455,1400.0
midget-w,65.90909091,1200.0
mjahl,70.04545455,1400.0
mjhl,82.45454545,2400.0
mmghl-u18-w,78.31818182,2000.0
mmhl-u23,82.45454545,2400.0
mmjhl,65.90909091,1200.0
mmmhl-u15,57.63636364,800.0
mmmhl-u18,70.04545455,1400.0
montreal-meltdown-u16,16.27272727,0.0
montreal-meltdown-u19,16.27272727,0.0
mphl,70.04545455,1400.0
mu18hl,74.18181818,1700.0
mwjhl-w,70.04545455,1400.0
nafha-w,70.04545455,1400.0
nahc,70.04545455,1400.0
nahc-w,70.04545455,1400.0
naprephl-u14,53.5,600.0
naprephl-u16,61.77272727,1000.0
naprephl-u18,74.18181818,1700.0
naprephl-w,74.18181818,1700.0
nat1hl-16u,65.90909091,1200.0
nbfaaahl-w,65.90909091,1200.0
nbiaa,74.18181818,1700.0
nbiaa-w,74.18181818,1700.0
nbjchl,70.04545455,1400.0
nbjhl,70.04545455,1400.0
nbmhl,78.31818182,2000.0
nbpeimu18hl,78.31818182,2000.0
nbu14aaahl,61.77272727,1000.0
nbu15aaahl,65.90909091,1200.0
ncdc,74.18181818,1700.0
nchl-ab,70.04545455,1400.0
ncjhl,70.04545455,1400.0
ncmha,70.04545455,1400.0
ndmhl,70.04545455,1400.0
neahl,74.18181818,1700.0
neajbhl,70.04545455,1400.0
nefphl-18u,70.04545455,1400.0
nemhl-u15,57.63636364,800.0
nemhl-u18,70.04545455,1400.0
neoha-u15,57.63636364,800.0
neshl,70.04545455,1400.0
netherlands-other,70.04545455,1400.0
nghl-16u-aa-w,70.04545455,1400.0
nghl-19u-aa-w,82.45454545,2400.0
nhl,99.0,4500.0
nhl-4-nations,8.0,0.0
njhl,65.90909091,1200.0
nlaaahl-u15,65.90909091,1200.0
nlaaahl-u16,65.90909091,1200.0
nlu18mhl,78.31818182,2000.0
nlu18minhl,78.31818182,2000.0
nohl-u14,61.77272727,1000.0
nohl-u15,65.90909091,1200.0
nojhl,70.04545455,1400.0
norjhl,70.04545455,1400.0
normanmaa,74.18181818,1700.0
northphl,70.04545455,1400.0
notehl,70.04545455,1400.0
nshl,70.04545455,1400.0
nsjbhl,70.04545455,1400.0
nsjhl,70.04545455,1400.0
nsrjhl,70.04545455,1400.0
nsu15mhl,57.63636364,800.0
nsu16aaahl,61.77272727,1000.0
nsu18mhl,70.04545455,1400.0
nwjhl,70.04545455,1400.0
obmhl-u14,45.22727273,400.0
obmhl-u15,49.36363636,500.0
obmhl-u16,53.5,600.0
obmhl-u18,61.77272727,1000.0
occcr,70.04545455,1400.0
ocr,70.04545455,1400.0
ocr-w,70.04545455,1400.0
oehl,70.04545455,1400.0
oenhl,70.04545455,1400.0
og,70.04545455,1400.0
og-w,70.04545455,1400.0
oha-sr.,70.04545455,1400.0
ohl,94.86363636,3600.0
ohl-cup,70.04545455,1400.0
ojhl,78.31818182,2000.0
omaha,61.77272727,1000.0
omha-u14,57.63636364,800.0
omha-u15,61.77272727,1000.0
omha-u16,65.90909091,1200.0
