league_name,level_category_points,league_points_f13
og-w,70.04545455,1400
oha-sr.,70.04545455,1400
ohl,94.86363636,3600
ohl-cup,70.04545455,1400
ojhl,78.31818182,2000
omaha,61.77272727,1000
omha-u14,57.63636364,800
omha-u15,61.77272727,1000
omha-u16,65.90909091,1200
omha-u18,74.18181818,1700
oshl,70.04545455,1400
owha-w,61.77272727,1000
owhl-u15-aa-w,61.77272727,1000
owhl-u18-aa-w,70.04545455,1400
owhl-u22-aa-w,78.31818182,2000
pcbhl,57.63636364,800
pcha,70.04545455,1400
peewee,53.5,600
pei-u15,65.90909091,1200
pei-u18,70.04545455,1400
peijchl,70.04545455,1400
phc,70.04545455,1400
phf-w,70.04545455,1400
phl-u15,65.90909091,1200
phl-u16,70.04545455,1400
phl-u18,70.04545455,1400
pijhl-1,70.04545455,1400
pijhl-2,70.04545455,1400
pjchl,70.04545455,1400
pjhl,65.90909091,1200
pmhl,70.04545455,1400
pphl-18u,65.90909091,1200
pphl-19u-w,70.04545455,1400
prospects-challenge,16.27272727,0
pshf-u16,65.90909091,1200
pshf-u18,74.18181818,1700
pwhl-w,70.04545455,1400
qchl,53.5,600
qchl-d2,53.5,600
qchl-d2-w,53.5,600
qchl-w,53.5,600
qihl-b2,53.5,600
qjhl,74.18181818,1700
qm15aa,61.77272727,1000
qm15aa-w,61.77272727,1000
qm15aaa,65.90909091,1200
qm15aaa-e,65.90909091,1200
qm15aaa-w,65.90909091,1200
qm15bb,53.5,600
qm17aaa,74.18181818,1700
qm18a,65.90909091,1200
qm18aa,70.04545455,1400
qm18aa-w,74.18181818,1700
qm18aaa,78.31818182,2000
qm18aaa-w,78.31818182,2000
qm18b,57.63636364,800
qm18bb,61.77272727,1000
qm21aa-w,78.31818182,2000
qmjhl,94.86363636,3600
qmjhl-cup,70.04545455,1400
qsphl,70.04545455,1400
qvhhl,70.04545455,1400
qvjhl,70.04545455,1400
rhl,70.04545455,1400
ricbaa,61.77272727,1000
rmfhl-w,70.04545455,1400
rseq-d2,65.90909091,1200
rseq-m14-d3,61.77272727,1000
rseq-m15-d1,65.90909091,1200
rseq-m15-d1-r,65.90909091,1200
rseq-m15-d2,61.77272727,1000
rseq-m15-d3,57.63636364,800
rseq-m18-d1,78.31818182,2000
rseq-m18-d1-r,78.31818182,2000
rseq-m18-d2,74.18181818,1700
rseq-m18-d3,70.04545455,1400
saahl-u15,61.77272727,1000
saahl-u16,65.90909091,1200
saahl-u18,74.18181818,1700
sashl,70.04545455,1400
saskehl,70.04545455,1400
saskphl,70.04545455,1400
scmhl,74.18181818,1700
scwhl-w,70.04545455,1400
semhl,70.04545455,1400
sfhl-u18-w,74.18181818,1700
sfmaaahl-w,70.04545455,1400
sijhl,65.90909091,1200
sjchl,70.04545455,1400
sjfhl-w,70.04545455,1400
sjhl,82.45454545,2400
sjjhl,70.04545455,1400
smaaahl,78.31818182,2000
spengler-cup,8.0,0
ssfhl-w,70.04545455,1400
sshl-sr.,70.04545455,1400
sshl-u15,57.63636364,800
sshl-u18,70.04545455,1400
step-u15,57.63636364,800
step-u18,70.04545455,1400
svhl,70.04545455,1400
swhl,70.04545455,1400
thhl,70.04545455,1400
thl,70.04545455,1400
tnphl,70.04545455,1400
trhl,70.04545455,1400
u14-a,53.5,600
u14-aa,57.63636364,800
u14-aaa,61.77272727,1000
u14-b,53.5,600
u15-a,57.63636364,800
u15-a1,57.63636364,800
u15-a2,57.63636364,800
u15-aa,61.77272727,1000
u15-aaa,65.90909091,1200
u15-b,49.36363636,500
u16-a,61.77272727,1000
u16-aa,65.90909091,1200
u16-aaa,70.04545455,1400
u16-bb,53.5,600
u16-prep,57.63636364,800
u17-a,65.90909091,1200
u18-a,70.04545455,1400
u18-a1,70.04545455,1400
u18-a2,70.04545455,1400
u18-aa,74.18181818,1700
u18-aaa,78.31818182,2000
u18-b,61.77272727,1000
u18-bb,65.90909091,1200
universiade,8.0,0
universiade-w,8.0,0
ushs-nb,82.45454545,2400
usphl-elite,65.90909091,1200
usphl-premier,65.90909091,1200
usports,86.59090909,2800
usports-w,86.59090909,2800
ut1hl-16u,65.90909091,1200
ut1hl-18u,74.18181818,1700
vhshl,70.04545455,1400
vibhl,57.63636364,800
vijhl,65.90909091,1200
waaa-u14,61.77272727,1000
waaa-u15,65.90909091,1200
waaa-u17,74.18181818,1700
wc-w,8.0,0
wcouh,8.0,0
wcshl,70.04545455,1400
wcup,8.0,0
whc-17,8.0,0
wheatlandshl,70.04545455,1400
whl,94.86363636,3600
wjac-19,8.0,0
wjc-18,8.0,0
wjc-18-w,8.0,0
wjc-20,8.0,0
wmhl,70.04545455,1400
wsi-u16,70.04545455,1400
wuhl,70.04545455,1400
wwhl-mb-w,70.04545455,1400
yog,70.04545455,1400
youthcups,16.27272727,0
asian-wg-w,61.77272727,1000
china,70.04545455,1400
ewhc-w,65.90909091,1200
wc-d1b,8.0,0
wcihl-w,70.04545455,1400
wjc-18-d2a,70.04545455,1400
wjc-20-d2a,74.18181818,1700
croatia-u20,74.18181818,1700
inthl,70.04545455,1400
inthl-w,70.04545455,1400
czechia,94.86363636,3600
czechia-juniors,74.18181818,1700
czechia-other,61.77272727,1000
czechia-u15-2,61.77272727,1000
czechia-u16-w,70.04545455,1400
czechia-u17,74.18181818,1700
czechia-u17-2,70.04545455,1400
czechia-u17-3,65.90909091,1200
czechia-u18-2,70.04545455,1400
czechia-u20,86.59090909,2800
czechia-u20-2,82.45454545,2400
czechia-u20-3,78.31818182,2000
czechia-w,90.72727273,3100
czechia2,90.72727273,3100
czechia2-w,86.59090909,2800
czechia3,82.45454545,2400
czechia4,78.31818182,2000
czechia5,74.18181818,1700
czechia6,70.04545455,1400
czechia7,65.90909091,1200
ec-w,20.40909091,0
eht,8.0,0
ullh,70.04545455,1400
wsi-u14-aaa,61.77272727,1000
wsi-u14-w,61.77272727,1000
wsi-u15-aaa,65.90909091,1200
wsi-u15-w,65.90909091,1200
wsi-u18-w,78.31818182,2000
denmark,90.72727273,3100
denmark-other,74.18181818,1700
denmark-u18,74.18181818,1700
denmark-u20,82.45454545,2400
denmark-w,90.72727273,3100
denmark2,82.45454545,2400
denmark2-w,82.45454545,2400
denmark3,78.31818182,2000
ndhl-w,70.04545455,1400
wjc-18-d1a-w,8.0,0
buiha,65.90909091,1200
eihl,70.04545455,1400
england-u16,57.63636364,800
england-u16-2,53.5,600
england-u19,65.90909091,1200
england-u19-2,61.77272727,1000
england-u19-3,57.63636364,800
nihl,70.04545455,1400
nihl-1,65.90909091,1200
nihl-2,61.77272727,1000
not-covered-w,65.90909091,1200
snl,57.63636364,800
wnihl-1-w,65.90909091,1200
wnihl-2-w,61.77272727,1000
wnihl-elite-w,70.04545455,1400
wnihl-u16-w,61.77272727,1000
estonia,70.04545455,1400
estonia-other,57.63636364,800
estonia-w,70.04545455,1400
estonia2,65.90909091,1200
latvia,86.59090909,2800
u16-sm-sarja,61.77272727,1000
wjc-20-d1b,78.31818182,2000
auroraliiga-w,94.86363636,3600
fcaa,70.04545455,1400
finnish-juniors,74.18181818,1700
ii-divisioona,82.45454545,2400
iii-divisioona,78.31818182,2000
iv-divisioona,74.18181818,1700
liiga,94.86363636,3600
mestis,90.72727273,3100
mestis-w,90.72727273,3100
suomi-sarja,86.59090909,2800
suomi-sarja-w,86.59090909,2800
u16-mestis,65.90909091,1200
u16-suomi-sarja,61.77272727,1000
u17-alempi,70.04545455,1400
u17-ii-divisioona,70.04545455,1400
u17-suomi-sarja,74.18181818,1700
u17-ylempi,70.04545455,1400
u18-ii-divisioona,65.90909091,1200
u18-iii-divisioona,65.90909091,1200
u18-mestis,74.18181818,1700
u18-sm-sarja,78.31818182,2000
u18-suomi-sarja,70.04545455,1400
u19-alempi,78.31818182,2000
u19-ii-divisioona,74.18181818,1700
u19-suomi-sarja,82.45454545,2400
u19-ylempi,78.31818182,2000
u20-aluedivisioona,74.18181818,1700
u20-alueliiga,74.18181818,1700
u20-aluesarja,70.04545455,1400
u20-iii-divisioona,65.90909091,1200
u20-mestis,82.45454545,2400
u20-sm-sarja,86.59090909,2800
u20-suomi-sarja,78.31818182,2000
u22-ylempi,82.45454545,2400
v-divisioona,70.04545455,1400
france-other,70.04545455,1400
france-u18,74.18181818,1700
france-u18-2,70.04545455,1400
france-u20,82.45454545,2400
france-u20-2,78.31818182,2000
france-w,86.59090909,2800
france2,82.45454545,2400
france3,78.31818182,2000
france4,74.18181818,1700
ligue-magnus,86.59090909,2800
wsi-u13-aaa,57.63636364,800
yog-w,70.04545455,1400
georgia,70.04545455,1400
del,90.72727273,3100
del2,86.59090909,2800
dfel-w,90.72727273,3100
dnl-u20,86.59090909,2800
dnl-u20-2,78.31818182,2000
dnl-u20-3,74.18181818,1700
germany-other,65.90909091,1200
germany-u15,65.90909091,1200
germany-u15-3,57.63636364,800
germany-u15-4,53.5,600
germany-u15-other,49.36363636,500
germany-u17,74.18181818,1700
germany-u17-2,70.04545455,1400
germany-u17-3,65.90909091,1200
germany-u17-5,57.63636364,800
germany-u17-other,53.5,600
germany-u20-4,70.04545455,1400
germany-u20-5,65.90909091,1200
germany3,82.45454545,2400
germany4,78.31818182,2000
germany4-w,78.31818182,2000
germany5,74.18181818,1700
germany6,70.04545455,1400
swissdiv3,82.45454545,2400
greece,61.77272727,1000
ccoa-d1-w,8.0,0
cihl-hk,61.77272727,1000
hong-kong,61.77272727,1000
wc-d3b,8.0,0
wjc-20-d3b,74.18181818,1700
andersen-liga-ob2,70.04545455,1400
cjhl-u16,57.63636364,800
erste-liga,74.18181818,1700
hungary-other,61.77272727,1000
hungary-u18,65.90909091,1200
hungary-u21,70.04545455,1400
wjc-18-d1a,74.18181818,1700
iceland,70.04545455,1400
iceland-u16,57.63636364,800
iceland-u18,65.90909091,1200
iceland-w,70.04545455,1400
ccoa-u18,49.36363636,500
ccoa-u20,53.5,600
ccoa-w,57.63636364,800
ccoa,57.63636364,800
indonesia,53.5,600
iran,53.5,600
iran-w,53.5,600
iehl,57.63636364,800
israel,61.77272727,1000
israel-u20,57.63636364,800
israel2,53.5,600
israel3,49.36363636,500
exhibition,74.18181818,1700
italy-u16,65.90909091,1200
italy-u19,78.31818182,2000
italy-w,86.59090909,2800
italy2,82.45454545,2400
italy3,78.31818182,2000
wc-d1a,8.0,0
